""	"name"	"mvsf"
"1"	"서울특별시"	"-185242"
"2"	"부산광역시"	"-46043"
"3"	"대구광역시"	"-9030"
"4"	"인천광역시"	"19583"
"5"	"광주광역시"	"-5147"
"6"	"대전광역시"	"6092"
"7"	"울산광역시"	"47233"
"8"	"세종특별자치시"	"2332"
"9"	"경기도"	"140261"
"10"	"강원도"	"18442"
"11"	"충청북도"	"21407"
"12"	"충청남도"	"48818"
"13"	"전라북도"	"-2656"
"14"	"전라남도"	"2890"
"15"	"경상북도"	"21780"
"16"	"경상남도"	"62950"
"17"	"제주특별자치도"	"3959"
